"Site"	"Transcription-Units"	"Synonyms"
PM8J2-174		
PM8J2-176		
PM8J2-177		
PM8J2-18	"sigY-yxlCDEFG"	
PM8J2-181		
PM8J2-184	"kinA"	
PM8J2-19	"ywoA"	
PM8J2-190	"yxeD"	
PM8J2-191	"ywhE"	
PM8J2-192	"ctpB"	
PM8J2-193		
PM8J2-194	"yvdQ"	
PM8J2-195	"yvdP"	
PM8J2-196	"yvaB"	
PM8J2-197	"yuzA"	
PM8J2-198	"yteA"	
PM8J2-199	"yrrD"	
PM8J2-2	"bceAB"	
PM8J2-20	"ywnJ"	
PM8J2-200	"yraGF-adhB-yraED"	
PM8J2-201	"yqfSU"	
PM8J2-202	"ypzA"	
PM8J2-203	"yozQ"	
PM8J2-204	"yoaR"	
PM8J2-205	"yndDEF"	
PM8J2-206	"ylaJ"	
PM8J2-207		
PM8J2-208	"yitGF"	
PM8J2-209	"yisY"	
PM8J2-21		
PM8J2-210	"yhcV"	
PM8J2-211	"yhcQ"	
PM8J2-212	"yhcN"	
PM8J2-213		
PM8J2-214	"yfjS"	
PM8J2-215	"ydfS"	
PM8J2-216	"ydfR"	
PM8J2-217	"yckD"	
PM8J2-218	"ybaK-cwlD"	
PM8J2-219	"sspOP"	
PM8J2-22	"yrhH"	
PM8J2-220	"sspN-tlp"	
PM8J2-221	"sspM"	
PM8J2-222	"sspL"	
PM8J2-223	"sspK"	
PM8J2-224	"sspJ"	
PM8J2-227		
PM8J2-228	"sspF"	
PM8J2-23	"yqjL"	
PM8J2-230	"sspD"	
PM8J2-231	"sspC"	
PM8J2-232	"sspB"	
PM8J2-233	"sspA"	
PM8J2-234	"spoVT"	
PM8J2-235		
PM8J2-236	"spoIVB"	
PM8J2-239	"sleB-ypeB"	
PM8J2-240		
PM8J2-241	"rsfA"	
PM8J2-242	"gpr"	
PM8J2-246	"gerBABC"	
PM8J2-248	"ypcP"	
PM8J2-249	"dacF-spoIIAAB-sigF"	
PM8J2-25	"sigX-rsiX"	
PM8J2-250	"csgA-ybxH"	
PM8J2-251		
PM8J2-252	"yyaC"	
PM8J2-253		
PM8J2-254	"ywhE"	
PM8J2-255	"yuiC"	
PM8J2-256	"ytkD"	
PM8J2-257	"ytfIJ"	
PM8J2-258	"yrrRS"	
PM8J2-259	"yqzG"	
PM8J2-26	"rapD"	
PM8J2-260	"yqhQP"	
PM8J2-261	"yphA-seaA-ypzH"	
PM8J2-262	"ylbBC"	
PM8J2-263	"yhfW"	
PM8J2-264	"yhfM"	
PM8J2-265	"yhcN"	
PM8J2-266	"yhcM"	
PM8J2-267		
PM8J2-268	"sspN-tlp"	
PM8J2-269	"spoIVB"	
PM8J2-270	"spoIIR"	
PM8J2-272		
PM8J2-273	"rsfA"	
PM8J2-274	"lonB"	
PM8J2-275	"katX"	
PM8J2-276	"gpr"	
PM8J2-278	"dacF-spoIIAAB-sigF"	
PM8J2-279		
PM8J2-28	"pbpX"	
PM8J2-280	"csfB"	
PM8J2-281		
PM8J2-282		
PM8J2-283	"yyaD"	
PM8J2-284	"yxjC-scoAB-yxjF"	
PM8J2-285	"ywdL"	
PM8J2-286	"ctpB"	
PM8J2-287	"yuzC"	
PM8J2-288	"yunB"	
PM8J2-289	"ytxC"	
PM8J2-290	"ytvI"	
PM8J2-291	"ytrHI"	
PM8J2-292	"yteV"	
PM8J2-293	"ysnD"	
PM8J2-294	"yrrRS"	
PM8J2-295	"yqfZY"	
PM8J2-296	"yqfCD"	
PM8J2-298	"ypjB"	
PM8J2-30	"dltABCDE"	
PM8J2-300	"yngJIHGFE"	
PM8J2-301	"yndA"	
PM8J2-302	"yncD"	
PM8J2-303	"yloB"	
PM8J2-304	"gerR"	
PM8J2-305	"ylbJ"	
PM8J2-306	"ykvUV"	
PM8J2-307	"ykvI"	
PM8J2-308	"yknT"	
PM8J2-31		
PM8J2-310	"yjfA"	
PM8J2-311	"yjdH"	
PM8J2-313	"yjbX"	
PM8J2-314	"yjbE"	
PM8J2-316	"yhxC"	
PM8J2-317	"yhjR"	
PM8J2-318	"yheCD"	
PM8J2-32	"csbB"	
PM8J2-320	"yhbH"	
PM8J2-321	"yhaX"	
PM8J2-323	"yfhS"	
PM8J2-324	"ydhD"	
PM8J2-325	"ydcC"	
PM8J2-326	"ydcA"	
PM8J2-327	"ycgFG"	
PM8J2-328	"ybaN"	
PM8J2-329		
PM8J2-33	"abh"	
PM8J2-330	"yaaH"	
PM8J2-331	"usd-spoIIID-mbl-flhOP"	
PM8J2-332	"spoVR"	
PM8J2-333	"spoVM"	
PM8J2-335	"spoVID-ysxE"	
PM8J2-338	"spoVD"	
PM8J2-339	"spoVB"	
PM8J2-34	"yxzE"	
PM8J2-340	"spoIVFAB"	
PM8J2-341	"spoIVCB-spoIIIC"	
PM8J2-342	"spoIVCA"	
PM8J2-345	"spoIIP-yqxA"	
PM8J2-346	"spoIIM"	
PM8J2-347		
PM8J2-348		
PM8J2-349	"spoIID"	
PM8J2-35		
PM8J2-350	"safA-coxA"	
PM8J2-351	"prkA"	
PM8J2-354	"nucB"	
PM8J2-355	"mmgABCDE-yqiQ"	
PM8J2-356		
PM8J2-358	"gerM"	
PM8J2-359	"dacB-spmAB"	
PM8J2-36	"ywrE"	
PM8J2-360	"cwlJ"	
PM8J2-361		
PM8J2-363	"cotJABC-yesJK"	
PM8J2-365	"bofA"	
PM8J2-366	"bdbDC"	
PM8J2-367	"asnO"	
PM8J2-368	"yxkC"	
PM8J2-369		
PM8J2-37	"ywnJ"	
PM8J2-371	"yscB"	
PM8J2-372	"yoaH"	
PM8J2-373	"ylqB"	
PM8J2-374	"yjfB"	
PM8J2-375	"yjcPQ"	
PM8J2-377	"hemAT"	
PM8J2-378	"yfmTS"	
PM8J2-379	"ybdO"	
PM8J2-38		
PM8J2-384	"nfrA-ywcH"	
PM8J2-386	"mcpC"	
PM8J2-389	"lytF"	
PM8J2-39	"ywaC"	
PM8J2-390	"lytD"	
PM8J2-392	"ipi"	
PM8J2-394	"fla-che"	
PM8J2-396	"dltABCDE"	
PM8J2-397	"degR"	
PM8J2-398	"cheV"	
PM8J2-399	"yycD"	
PM8J2-4	"ydfJ"	
PM8J2-40	"yvlABCD"	
PM8J2-400	"yxkO"	
PM8J2-401		
PM8J2-402	"ywtG"	
PM8J2-403	"ywmE"	
PM8J2-404	"ywjC"	
PM8J2-406	"yvrE"	
PM8J2-407	"yvgO"	
PM8J2-409	"ytkL"	
PM8J2-41	"yuaFGI"	
PM8J2-410	"ysnF"	
PM8J2-411	"yrvD"	
PM8J2-412	"yqxL"	
PM8J2-414	"yqhQP"	
