"Site"	"Transcription-Units"	"Synonyms"
"yjbC-P2"		
"yjbC-PB"		
"yjbD-P3"		
"yjbD-Pm"		
"yjcA-P1"	"yjcA"	
"yjcB-P2"		
"yjcZ-P3"		
"yjcZp"	"yjcZ" // "yjcZ-spoVIF"	
"yjlCp"	"yjlC-ndh"	
"yjzKp"	"yjzK-yjcZ"	
"ykuNp"	"ykuNOP"	
"ylbQp"	"ylbQ-bshC"	
"ylmAp"	"ylmA"	
"yojEp"	"yojE-yoyC-yojF-bshB2"	
"yoyCp"	"yoyC-yojF-bshB2"	
"ypjDp"	"ypjD-dapB-mgsA-bshB1-bshA-cca-birA"	
"yqiHp"	"yqiHIK"	
"ytpPp"	"ytpPQR"	
"ytrGp"	"ytrGABCDEF"	
"ytxG-PB"	"ytxGHJ"	
"ytxG-PH"	"ytxGHJ"	
"yutDp"	"yutDEF"	
"yuxHp"	"yuxH"	
"yvaKp"	"yvaK-rnr-smpB-ssrA"	
"yvyD-P1"	"yvyD"	
"yvyD-P2"	"yvyD"	
"ywoBp"	"ywoBCD"	
