M8J2-75	cspB	BSU09100
M8J2-75	ctaA	BSU14870
M8J2-74	ctsR	BSU00830
M8J2-74	cysH	BSU15570
M8J2-74	cysK	BSU00730
M8J2-74		
M8J2-74	degQ	BSU31720
M8J2-74	des	BSU19180
M8J2-7	spoIIIJ	BSU41040
M8J2-73		
M8J2-73	dppA	BSU12920
M8J2-73		
M8J2-73	fabHA	BSU11330
M8J2-7		
M8J2-72	fapR	BSU15880
M8J2-72	fbp	BSU40190
M8J2-72	feuA	BSU01630
M8J2-72	flgB	BSU16180
M8J2-72	ftsH	BSU00690
M8J2-72	fur	BSU23520
M8J2-71	gapB	BSU29020
M8J2-71	gabR	BSU03890
M8J2-71	gabT	BSU03900
M8J2-71	gcaD	BSU00500
M8J2-71	glnR	BSU17450
M8J2-71	glpD	BSU09300
M8J2-70	glpF	BSU09280
M8J2-70		
M8J2-70	glpT	BSU02140
M8J2-70	glsA	BSU02430
M8J2-70	gltA	BSU18450
M8J2-70	gltR	BSU26670
M8J2-70	gltC	BSU18460
M8J2-70	gltX	BSU00920
M8J2-70	glyA	BSU36900
M8J2-7	ykzB	BSU13320
M8J2-	ascR	BSU29400
M8J2-69	groES	BSU06020
M8J2-69	gtaB	BSU35670
M8J2-69	guaA	BSU06360
M8J2-69	guaD	BSU13170
M8J2-69	gudB	BSU22960
M8J2-69	gutB	BSU06150
M8J2-68	hemA	BSU28170
M8J2-68	hemZ	BSU09840
M8J2-68	htpG	BSU39820
M8J2-68	htrA	BSU12900
M8J2-68	hutP	BSU39340
M8J2-68		
M8J2-68	ilvB	BSU28310
M8J2-68	iolR	BSU39770
M8J2-6	abh	BSU14480
M8J2-67		
M8J2-67	iolT	BSU06230
M8J2-67	kdgR	BSU22120
M8J2-67	kinB	BSU31450
M8J2-67	kinC	BSU14490
M8J2-67	ldh	BSU03050
M8J2-67	lepA	BSU25510
M8J2-67	licB	BSU38590
M8J2-67	licR	BSU38600
M8J2-6		
M8J2-66	lysC	BSU28470
M8J2-66	maeN	BSU31580
M8J2-66	malA	BSU08180
M8J2-66	mecA	BSU11520
M8J2-6	pbpE	BSU34440
M8J2-65		
M8J2-65		
M8J2-65	menF	BSU30830
M8J2-65	mmsA	BSU39760
M8J2-65	mrgA	BSU32990
M8J2-65	mta	BSU36600
M8J2-65	folEA	BSU22780
M8J2-65	nadB	BSU27870
M8J2-65	nadE	BSU03130
M8J2-6	pbpX	BSU16950
M8J2-64	narG	BSU37280
M8J2-64	nasA	BSU03330
M8J2-64	nfrA	BSU38110
M8J2-64	nifS	BSU27880
M8J2-64	amtB	BSU36510
M8J2-64		
M8J2-64	odhA	BSU19370
M8J2-64		
M8J2-6	pspA	BSU06180
M8J2-63	pabB	BSU00740
M8J2-63	pckA	BSU30560
M8J2-63	pbpD	BSU31490
M8J2-63	pbpF	BSU10110
M8J2-63	pdhA	BSU14580
M8J2-63		
M8J2-63	perR	BSU08730
